word,back,tags
お負けに,"<b>Reading:</b> おまけに<br><br><b>Meanings:</b><br>1. (conjunction; expressions (phrases, clauses, etc.)) to make matters worse; besides; what's more; in addition; on top of that <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. おまけに雨まで降っていた。<br>→ On top of that, it was raining.",N2 common kanji
お呪い,"<b>Reading:</b> おまじない<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) charm; incantation; spell; curse <i>(word usually written using kana alone; honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) code that is not (yet) necessary to understand; required boilerplate code <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. おまじないって言うのはね、女の子が好きな人と結ばれるように願をかけたりすることだよ。<br>→ What you call a 'charm', you know, is what girls wish upon that they may get together with the person they love and such like.",N2 kanji
お襁褓気触れ,"<b>Reading:</b> おむつかぶれ, オムツかぶれ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) diaper rash; nappy rash <i>(word usually written using kana alone)</i>",N2 kanji
おめでとう御座います,"<b>Reading:</b> おめでとうございます<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) congratulations <i>(polite (teineigo) language; word usually written using kana alone)</i>",N2 common kanji
お下げ,<b>Reading:</b> おさげ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) wearing one's hair in braids <i>(word usually written using kana alone)</i>,N2 kanji
お化け,"<b>Reading:</b> おばけ, オバケ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) ghost; apparition <i>(word usually written using kana alone)</i><br>2. (noun (common) (futsuumeishi)) goblin; monster; demon <i>(word usually written using kana alone)</i><br>3. (noun (common) (futsuumeishi)) something unusually large <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 私の家におばけが出たのは本当だ。<br>→ It's true that a ghost appeared at my house.",N2 common kanji
お菓子,<b>Reading:</b> おかし<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) confections; sweets; candy; cake<br><br><b>Examples:</b><br>1. お菓子で赤ちゃんが窒息するところだった。<br>→ The baby almost choked on a piece of candy.,N2 common kanji
お願いします,"<b>Reading:</b> おねがいします<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) please <i>(humble (kenjougo) language)</i><br><br><b>Examples:</b><br>1. フライトの再確認をお願いします。<br>→ Flight reconfirmation, please.",N2 common kanji
お帰りなさい,"<b>Reading:</b> おかえりなさい<br><br><b>Meanings:</b><br>1. (interjection (kandoushi)) welcome home [stock phrase said when someone comes home]<br><br><b>Examples:</b><br>1. 「ただいまー」「お帰りなさい」<br>→ ""I'm back."" ""Welcome home.""",N2 common kanji
お気の毒,"<b>Reading:</b> おきのどく<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); adjectival nouns or quasi-adjectives (keiyodoshi)) I am sorry (to hear, to say, etc.); a pity <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. ひどいけがをしておいでで、お気の毒です。<br>→ I'm sorry that you've been badly injured.",N2 kanji
お客さん,<b>Reading:</b> おきゃくさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) guest; visitor <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) customer; client; shopper; spectator; audience; tourist; sightseer; passenger <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. ３１８号室のお客さんに持って行ってあげなさい。<br>→ Take it to the men in Room 318.,N2 kanji
お客様,<b>Reading:</b> おきゃくさま<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) guest; visitor <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) customer; client; shopper; spectator; audience; tourist; sightseer; passenger <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. お客様のサイズは切らしてしまっているようですが。<br>→ I think we're out of your size.,N2 common kanji
お休みなさい,"<b>Reading:</b> おやすみなさい<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) good night <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 彼は両親に「おやすみなさい」と言った。<br>→ He said good night to his parents.",N2 common kanji
お金,<b>Reading:</b> おかね<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) money <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. どうやってそのお金を手に入れたんですか。<br>→ How did you come by the money?,N2 common kanji
お兄さん,<b>Reading:</b> おにいさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) older brother; elder brother <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) young man; buddy; fella; laddie [oft. vocative] <i>(familiar language)</i><br><br><b>Examples:</b><br>1. 彼のお兄さんは有名なサッカーの選手です。<br>→ His brother is a famous soccer player.,N2 common kanji
お兄ちゃん,"<b>Reading:</b> おにいちゃん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) (one's) older brother <i>(familiar language)</i><br>2. (noun (common) (futsuumeishi)) lad; sonny [oft. vocative] <i>(familiar language)</i><br><br><b>Examples:</b><br>1. 「百八といえば煩悩の数だ」「お兄ちゃんはどんな煩悩があるの？」「言ってもいいが、検閲削除になるぞ」<br>→ ""Talking about 108, that's the number of worldly passions."" ""What worldly passions have you got then?"" ""I could say, but it'll get censored out.""<br><br>1. ママー、今あのおにいちゃんすごいころんだよー。<br>→ Mummy, that man just fell flat on his face!",N2 kanji
お結び,<b>Reading:</b> おむすび<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) onigiri; rice ball <i>(word usually written using kana alone; polite (teineigo) language)</i>,N2 kanji
お見えになる,"<b>Reading:</b> おみえになる<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Godan verb with 'ru' ending) to arrive; to come <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. お留守中に男の方がお見えになりました。<br>→ A gentleman called in your absence, sir.",N2 kanji
お見舞い,<b>Reading:</b> おみまい<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) visit (to someone affected by illness or misfortune); call; inquiry (about someone's health); expression of sympathy<br>2. (noun (common) (futsuumeishi)) letter of inquiry; letter of sympathy; get-well letter; gift (in token of one's sympathy)<br><br><b>Examples:</b><br>1. 彼女のお見舞いに行こうよ。<br>→ Why don't we go and see her in the hospital?,N2 kanji
お古,<b>Reading:</b> おふる<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) used article (esp. clothes),N2 kanji
お好み焼き,"<b>Reading:</b> おこのみやき<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) okonomiyaki; savoury pancake fried on an iron griddle with vegetables, meat and/or seafood and topped with various sauces and condiments",N2 common kanji
お構いなく,"<b>Reading:</b> おかまいなく<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) please don't fuss over me; don't go to any trouble; don't bother <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. 私の事はお構いなく。<br>→ Please don't go out of your way on my account.",N2 kanji
お札,<b>Reading:</b> おさつ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) banknote; bill; note<br><br><b>Examples:</b><br>1. このお札を硬貨に変えて下さい。<br>→ Please change this bill into coins.,N2 kanji
お三時,<b>Reading:</b> おさんじ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) afternoon snack (eaten around 3 o'clock); afternoon tea,N2 kanji
お参り,"<b>Reading:</b> おまいり<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; intransitive verb) visit (to a shrine, grave, etc.); worship<br><br><b>Examples:</b><br>1. 元旦には近所の神社にお参りする人が多い。<br>→ On New Year's Day, many people visit neighborhood shrines.",N2 common kanji
お産,<b>Reading:</b> おさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) (giving) birth; childbirth; delivery <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. ケイちゃんはとても運がいいのよ。お産の時から、そうだったわ。<br>→ Kei's very lucky! He has been since his birth.,N2 common kanji
お仕舞い,<b>Reading:</b> おしまい<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) the end; closing; being done for <i>(word usually written using kana alone; polite (teineigo) language)</i><br>2. (interjection (kandoushi)) that's it; that's enough; that's all <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 今日はこれでおしまいにしてはどうでしょう。<br>→ What do you say to calling it a day?,N2 common kanji
お姉さん,"<b>Reading:</b> おねえさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) older sister; elder sister [usu. お姉さん] <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) young lady [vocative]<br>3. (noun (common) (futsuumeishi)) miss [referring to a waitress, etc.; usu. お姐さん]<br>4. (noun (common) (futsuumeishi)) ma'am [used by geisha to refer to their superiors; usu. お姐さん]<br>5. (noun (common) (futsuumeishi)) older girl<br><br><b>Examples:</b><br>1. あなたのお姉さんは審美感があるね。<br>→ Your sister has a sense of beauty.<br><br>1. ねえ蓮、お姉さんが手をつないであげようか？キミは毎年すぐにはぐれちゃうもんね。<br>→ By the way, Ren. Should I take your hand? Every year you wander off.",N2 common kanji
お子さん,<b>Reading:</b> おこさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) child <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. お子さんは何人おありですか。<br>→ How many children do you have?,N2 kanji
お子様,<b>Reading:</b> おこさま<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) (another's) child <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) child; kid<br><br><b>Examples:</b><br>1. いいお子様たちだと愛想を言う。<br>→ Say nice things about a person's children.,N2 common kanji
お歯黒,<b>Reading:</b> おはぐろ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) tooth blackening <i>(historical term)</i><br>2. (noun (common) (futsuumeishi)) tooth-blackening dye <i>(historical term)</i>,N2 kanji
お守り,<b>Reading:</b> おまもり<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) charm; amulet; talisman<br><br><b>Examples:</b><br>1. 安全のために御守りを持って行きなさい。<br>→ Take an amulet for safety's sake.,N2 common kanji
お手玉,<b>Reading:</b> おてだま<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) beanbag; beanbag juggling game<br>2. (noun (common) (futsuumeishi)) bobbling the ball,N2 kanji
お手上げ,<b>Reading:</b> おてあげ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; throwing up (one's) hands<br><br><b>Examples:</b><br>1. 火災で全てのコンピューターディスクが駄目になってしまった時、会社はもうお手上げの状況だった。<br>→ The company faced a major interruption in business when a fire destroyed their archive of computer hard drives and optical discs.,N2 common kanji
お手洗い,<b>Reading:</b> おてあらい<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) toilet; restroom; lavatory; bathroom<br><br><b>Examples:</b><br>1. お手洗いはどこですか。<br>→ Where's the restroom?,N2 common kanji
お手伝いさん,<b>Reading:</b> おてつだいさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) maid<br><br><b>Examples:</b><br>1. お手伝いさんたちは主人の命令を実行しようと努めた。<br>→ The servants tried to carry out their master's order.,N2 common kanji
お召し,<b>Reading:</b> おめし<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) summoning; calling; riding; wearing; dressing; clothing <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) (high-quality) silk crepe (fabric) <i>(abbreviation)</i>,N2 kanji
お召し物,<b>Reading:</b> おめしもの<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) clothing <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. お召しもののサイズは？<br>→ What size do you wear?,N2 kanji
お食い初め,<b>Reading:</b> おくいぞめ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) okuizome; weaning ceremony; ritual meal for a 100-day old infant,N2 kanji
お尻,"<b>Reading:</b> おしり, オシリ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) bottom; buttocks <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi)) bidet function (for anal cleansing) [on toilet control panels] <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 赤ん坊のお尻みたいにすべすべだ。<br>→ It's as smooth as a baby's bottom.",N2 kanji
お寝小,"<b>Reading:</b> おねしょ, オネショ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; intransitive verb) bed-wetting <i>(children's language; word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 小さい頃よくおねしょをしたものだったが、７歳までには治った。<br>→ I used to wet the bed when I was small, but I grew out of it by the time I was seven.",N2 kanji
お新香,<b>Reading:</b> おしんこ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) pickled vegetables; pickles,N2 kanji
お神酒,"<b>Reading:</b> おみき<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) sacred wine; sacred sake; sake offered to the gods<br>2. (noun (common) (futsuumeishi)) sake <i>(jocular, humorous term)</i>",N2 kanji
お世辞,<b>Reading:</b> おせじ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) flattery; compliment<br><br><b>Examples:</b><br>1. 私達は彼女の料理にお世辞を言った。<br>→ We flattered her on her cooking.,N2 common kanji
お世話になる,"<b>Reading:</b> おせわになる<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Godan verb with 'ru' ending) to receive favor; to receive assistance; to receive help; to be looked after; to be taken care of; to become dependent (on); to become much obliged (to someone); to become indebted [oft. used to express gratitude] <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. お世話になりました。<br>→ I really appreciate your kindness.",N2 common kanji
お生憎様,"<b>Reading:</b> おあいにくさま<br><br><b>Meanings:</b><br>1. (interjection (kandoushi); adjectival nouns or quasi-adjectives (keiyodoshi)) sorry [used when giving disappointing news, refusing a request, etc.] <i>(word usually written using kana alone)</i><br>2. (interjection (kandoushi); adjectival nouns or quasi-adjectives (keiyodoshi)) too bad (for you)!; tough luck! [ironic] <i>(word usually written using kana alone)</i>",N2 kanji
お前,"<b>Reading:</b> おまえ, おまい<br><br><b>Meanings:</b><br>1. (pronoun) you [formerly honorific, now very informal] <i>(familiar language; male term or language)</i><br>2. (noun (common) (futsuumeishi)) before (a god, nobleman, etc.); in front of<br><br><b>Examples:</b><br>1. お前を娘の夫にしよう。<br>→ You shall be my daughter's husband.",N2 common kanji
お前さん,<b>Reading:</b> おまえさん<br><br><b>Meanings:</b><br>1. (pronoun) you <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi)) hubby; dearie [vocative] <i>(familiar language)</i>,N2 kanji
お祖父さん,<b>Reading:</b> おじいさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) grandfather [usu. お祖父さん when written with kanji] <i>(word usually written using kana alone)</i><br>2. (noun (common) (futsuumeishi)) male senior-citizen; old man [usu. お爺さん when written with kanji] <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. おじいさんは少し耳が遠いんだ。<br>→ My grandfather is a bit hard of hearing.<br><br>1. おじいさんはその木の人形をピノキオと名づけました。<br>→ The old man named the wooden doll Pinocchio.,N2 common kanji
お早うございます,"<b>Reading:</b> おはようございます, おはよーございます<br><br><b>Meanings:</b><br>1. (interjection (kandoushi)) good morning [used at any time of the day in some industries and workplaces] <i>(word usually written using kana alone; polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. 皆さん、おはようございます。<br>→ Good morning, everyone.",N2 common kanji
お孫さん,<b>Reading:</b> おまごさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) grandchild <i>(honorific or respectful (sonkeigo) language)</i>,N2 kanji
お待ちどおさま,"<b>Reading:</b> おまちどおさま, おまちどうさま<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) I'm sorry to have kept you waiting",N2 kanji
お袋,"<b>Reading:</b> おふくろ, オフクロ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) (one's) mother <i>(colloquial; word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. お袋の前ではそのことに触れるな。<br>→ Don't talk about it in my mother's presence.",N2 common kanji
お宅,<b>Reading:</b> おたく<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) your house; your home; your family <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) your husband <i>(honorific or respectful (sonkeigo) language)</i><br>3. (noun (common) (futsuumeishi)) your organization <i>(honorific or respectful (sonkeigo) language)</i><br>4. (pronoun) you [referring to someone of equal status with whom one is not especially close] <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. お宅の暖房はどのようにしていますか。<br>→ How do you heat the house?,N2 common kanji
お知らせ,<b>Reading:</b> おしらせ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) notice; notification <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. 状況をお知らせください。<br>→ Please let me know the status.,N2 kanji
お茶,"<b>Reading:</b> おちゃ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) tea (esp. green or barley) <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; intransitive verb) tea break; teatime<br>3. (noun or participle which takes the aux. verb suru; intransitive verb) to go out for tea (or coffee, etc.) [sometimes used as a pickup line] <i>(colloquial)</i><br>4. (noun (common) (futsuumeishi)) tea ceremony<br><br><b>Examples:</b><br>1. ご都合のよいときにお茶を飲みにお寄りになりませんか。<br>→ Why don't you drop in for tea at your convenience?<br><br>1. ３時はお茶にしよう。<br>→ Let's have tea at 3:00.",N2 common kanji
お喋り,<b>Reading:</b> おしゃべり<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; transitive verb) chattering; talk; idle talk; chat; chitchat; gossip <i>(word usually written using kana alone)</i><br>2. (adjectival nouns or quasi-adjectives (keiyodoshi); noun (common) (futsuumeishi)) chatty; talkative; chatterbox; blabbermouth <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 彼らは天気についておしゃべりした。<br>→ They chatted about the weather.,N2 common kanji
お天気,"<b>Reading:</b> おてんき<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) weather <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi)) mood; temper<br><br><b>Examples:</b><br>1. いいお天気ですね。<br>→ It's a beautiful day, isn't it?<br><br>1. それに比べ最近彼女のお天気は良好。<br>→ In comparison to which she's been in a really good mood recently.",N2 common kanji
お屠蘇,<b>Reading:</b> おとそ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) New Year's sake; spiced sake,N2 kanji
お土産,"<b>Reading:</b> おみやげ, おみあげ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) local specialty or souvenir bought as a gift while traveling (travelling) <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi)) present brought by a visitor <i>(polite (teineigo) language)</i><br>3. (noun (common) (futsuumeishi)) something unpleasant that one is given (e.g. an illness while on vacation); unwelcome gift; disservice <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. これは北海道からのお土産です。<br>→ This is a souvenir from Hokkaido.<br><br>1. 波風を鎮めるにはチーズケーキのお土産が良いらしいですよ。<br>→ A gift of cheesecake is apparently good to soothe discord.",N2 common kanji
お湯,<b>Reading:</b> おゆ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) hot water <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi)) hot bath <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. お湯を全部使わないで。<br>→ Don't use all the hot water.,N2 kanji
お疲れ様,"<b>Reading:</b> おつかれさま<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) thank you (for your hard work); good work<br>2. (expressions (phrases, clauses, etc.)) see you; goodbye; goodnight<br><br><b>Examples:</b><br>1. 「おさきにしつれいします」「おつかれさまでした」<br>→ ""I'm finished for the day."" ""Much appreciated.""",N2 common kanji
お付き,<b>Reading:</b> おつき<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) retainer; attendant; escort,N2 kanji
お父さん,"<b>Reading:</b> おとうさん, おとっさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) father; dad; papa; pa; pop; daddy; dada <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) husband <i>(honorific or respectful (sonkeigo) language)</i><br>3. (pronoun) you (of an elderly person older than the speaker); he; him <i>(familiar language)</i><br><br><b>Examples:</b><br>1. お父さんは煙草の煙でたくさん輪を作れる。<br>→ Dad can blow many smoke rings.",N2 common kanji
お腹,"<b>Reading:</b> おなか<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) belly; abdomen; stomach <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. いいえ、結構です。お腹が一杯ですから。<br>→ No, thank you. I've had enough.",N2 common kanji
お別れ,<b>Reading:</b> おわかれ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) parting; farewell <i>(polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. お別れを言いにちょっと立ち寄ってみました。<br>→ I just dropped in to say goodbye.,N2 kanji
お返し,<b>Reading:</b> おかえし<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; transitive verb) return gift; return favour<br>2. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru) revenge<br>3. (noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru) change (in a cash transaction)<br><br><b>Examples:</b><br>1. お返しに微積分のノートを貸してあげるわ。<br>→ I'll pay you back with my calculus notes.<br><br>1. いつか私を軽蔑したことに対して、彼にお返しをしてやろう。<br>→ Someday I will repay him for looking down on me.,N2 common kanji
お母さん,"<b>Reading:</b> おかあさん, おかーさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) mother; mom; mum; ma <i>(honorific or respectful (sonkeigo) language)</i><br>2. (noun (common) (futsuumeishi)) wife <i>(honorific or respectful (sonkeigo) language)</i><br>3. (pronoun) you (of an elderly person older than the speaker); she; her <i>(familiar language)</i><br><br><b>Examples:</b><br>1. お母さんに口答えしてはいけませんよ。<br>→ Don't answer your mother back.",N2 common kanji
お母様,<b>Reading:</b> おかあさま<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) mother <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. お母様にくれぐれもよろしく。<br>→ Please give my kindest regards to your mother.,N2 kanji
